epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.948731541633606,0.0010000000474974513,0.8058609366416931,0.9918755292892456,0.28417080640792847
1,0.974490761756897,0.0010000000474974513,0.3386913239955902,0.9938753843307495,0.27022525668144226
2,0.9759490489959717,0.0010000000474974513,0.31950482726097107,0.9940211772918701,0.24818924069404602
3,0.976303219795227,0.0010000000474974513,0.302164763212204,0.9905214309692383,0.24023333191871643
4,0.9769802689552307,0.0010000000474974513,0.2885113060474396,0.9952086210250854,0.22304217517375946
5,0.9770843982696533,0.0010000000474974513,0.2825506031513214,0.9932920932769775,0.22128510475158691
6,0.9777041673660278,0.0010000000474974513,0.27473995089530945,0.9937711954116821,0.20050214231014252
7,0.9777823090553284,0.0010000000474974513,0.2640601694583893,0.9951669573783875,0.16813263297080994
8,0.9782457947731018,0.0010000000474974513,0.2612162232398987,0.9940211772918701,0.17358151078224182
9,0.9774802327156067,0.0010000000474974513,0.26052460074424744,0.9943336844444275,0.20079728960990906
10,0.9777666926383972,0.0010000000474974513,0.255851686000824,0.9933754205703735,0.17847102880477905
11,0.9776729345321655,0.0010000000474974513,0.25191524624824524,0.9941878914833069,0.19416724145412445
12,0.9780895709991455,0.0010000000474974513,0.2481807917356491,0.9925004839897156,0.1902831494808197
13,0.9864381551742554,0.0005000000237487257,0.15414665639400482,0.9963960647583008,0.10859324038028717
14,0.9858704805374146,0.0005000000237487257,0.1467401087284088,0.9946253299713135,0.11828374862670898
15,0.9862610697746277,0.0005000000237487257,0.14288435876369476,0.9953544735908508,0.11172889918088913
16,0.9865214824676514,0.0005000000237487257,0.1420036107301712,0.9963752031326294,0.10893779993057251
17,0.9857454895973206,0.0005000000237487257,0.14449723064899445,0.9962502121925354,0.10388446599245071
18,0.9862610697746277,0.0005000000237487257,0.14199745655059814,0.9966460466384888,0.10051966458559036
19,0.9865683317184448,0.0005000000237487257,0.1404588222503662,0.9943753480911255,0.11291912198066711
20,0.9864693880081177,0.0005000000237487257,0.13979417085647583,0.9965001940727234,0.1036272794008255
21,0.9864329099655151,0.0005000000237487257,0.14028185606002808,0.9963960647583008,0.10600584745407104
22,0.9862766861915588,0.0005000000237487257,0.14275936782360077,0.9967501759529114,0.09774740040302277
23,0.9859433770179749,0.0005000000237487257,0.14285625517368317,0.9959169030189514,0.10545362532138824
24,0.9864745736122131,0.0005000000237487257,0.1394590437412262,0.9964377284049988,0.10329677909612656
25,0.9865318536758423,0.0005000000237487257,0.1400958150625229,0.9960210919380188,0.1029738113284111
26,0.9864693880081177,0.0005000000237487257,0.14192822575569153,0.9966877102851868,0.09945514798164368
27,0.986000657081604,0.0005000000237487257,0.1409405916929245,0.9958961009979248,0.10011068731546402
28,0.9915212392807007,0.0002500000118743628,0.09424544870853424,0.9966460466384888,0.0644083246588707
29,0.9910420775413513,0.0002500000118743628,0.08683086931705475,0.9962085485458374,0.06451207399368286
30,0.9909014701843262,0.0002500000118743628,0.08645829558372498,0.9968127012252808,0.06460041552782059
31,0.9910785555839539,0.0002500000118743628,0.0857178270816803,0.9965001940727234,0.06323076039552689
32,0.9910576939582825,0.0002500000118743628,0.08453197032213211,0.9965627193450928,0.0622287318110466
33,0.9905577301979065,0.0002500000118743628,0.0874776840209961,0.9967918395996094,0.06376737356185913
34,0.990760862827301,0.0002500000118743628,0.08662416785955429,0.9967710375785828,0.06433176249265671
35,0.9913753867149353,0.0002500000118743628,0.08323445171117783,0.9963127374649048,0.06662672013044357
36,0.9910889863967896,0.0002500000118743628,0.08443865925073624,0.9963127374649048,0.06599359959363937
37,0.9912556409835815,0.0002500000118743628,0.08494619280099869,0.9950628280639648,0.06856110692024231
38,0.9939273595809937,0.0001250000059371814,0.06252647936344147,0.9968751668930054,0.046318039298057556
39,0.9936461448669434,0.0001250000059371814,0.05700654909014702,0.9966877102851868,0.04420294985175133
40,0.9934898614883423,0.0001250000059371814,0.05619266256690025,0.9969376921653748,0.041648223996162415
41,0.9938023686408997,0.0001250000059371814,0.05430196225643158,0.9969376921653748,0.04148375988006592
42,0.993656575679779,0.0001250000059371814,0.055135615170001984,0.9970626831054688,0.04169545695185661
43,0.9936200976371765,0.0001250000059371814,0.05565929785370827,0.9970626831054688,0.04226535186171532
44,0.9936408996582031,0.0001250000059371814,0.054546188563108444,0.9969793558120728,0.04110567271709442
45,0.993781566619873,0.0001250000059371814,0.0535438247025013,0.9970418810844421,0.0397057980298996
46,0.9933857321739197,0.0001250000059371814,0.05537508428096771,0.9970835447311401,0.041370689868927
47,0.9936408996582031,0.0001250000059371814,0.05402343347668648,0.9950836300849915,0.04653577134013176
48,0.9933440685272217,0.0001250000059371814,0.055174343287944794,0.9970418810844421,0.04181186482310295
49,0.9936617612838745,0.0001250000059371814,0.05287574231624603,0.9969584941864014,0.040514297783374786
50,0.9933909177780151,0.0001250000059371814,0.055011775344610214,0.9968751668930054,0.041553888469934464
51,0.9951460361480713,6.25000029685907e-05,0.044879406690597534,0.9971043467521667,0.03371356055140495
52,0.9949585795402527,6.25000029685907e-05,0.04176563397049904,0.9971460103988647,0.03167350962758064
53,0.9950887560844421,6.25000029685907e-05,0.039597637951374054,0.9971668720245361,0.03100689873099327
54,0.9949325323104858,6.25000029685907e-05,0.03966643661260605,0.9970835447311401,0.03126563876867294
55,0.9950991868972778,6.25000029685907e-05,0.03947543725371361,0.9972293376922607,0.02942088060081005
56,0.9951720833778381,6.25000029685907e-05,0.03877154365181923,0.9972293376922607,0.029797693714499474
57,0.9951200485229492,6.25000029685907e-05,0.03807143494486809,0.9971876740455627,0.028954649344086647
58,0.9951668977737427,6.25000029685907e-05,0.03786980360746384,0.9971876740455627,0.028988394886255264
59,0.995364785194397,6.25000029685907e-05,0.037506554275751114,0.9971876740455627,0.028884554281830788
60,0.9950419068336487,6.25000029685907e-05,0.037805136293172836,0.9972085356712341,0.028606144711375237
61,0.995156466960907,6.25000029685907e-05,0.03751862049102783,0.9971043467521667,0.028738874942064285
62,0.994989812374115,6.25000029685907e-05,0.038330525159835815,0.9970210194587708,0.028969604521989822
63,0.9950419068336487,6.25000029685907e-05,0.037552494555711746,0.9971876740455627,0.028533561155200005
64,0.9949741959571838,6.25000029685907e-05,0.0376591831445694,0.9971668720245361,0.02880881167948246
